SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1186J	0	16998	0	9	0	0	0	0	0	0	0	69180	0	0	0	0	135	0	0	0	0	22
1186K	0	1651	0	0	0	0	0	0	0	0	0	2640	0	0	0	0	0	0	0	0	0	0
1186M	0	35726	5	11	0	31	0	0	0	0	0	32127	0	0	6	0	159	0	0	0	0	23
1186N	0	52384	0	10	0	92	0	0	0	0	0	20583	0	0	18	0	451	2	0	0	0	22
1186P	0	45277	2	12	0	63	0	0	0	0	0	16180	0	0	7	0	351	0	0	0	0	0
1186R	0	3115	0	0	0	7	0	0	0	0	0	75683	0	0	0	0	37	0	0	0	0	109
1186S	0	2539	2	0	0	68	0	0	0	0	0	94524	0	0	0	0	60	0	0	0	0	150
1186V	0	457	0	0	0	0	0	0	0	0	0	104435	0	0	0	0	1311	0	0	0	0	24
1187B	0	3633	0	0	0	0	0	0	0	0	0	7396	0	0	0	0	0	0	0	0	0	0
1191A	0	14599	464	0	0	0	0	0	0	0	0	90960	0	0	0	0	17	0	0	0	0	0
1191B	0	18655	727	0	0	0	0	0	0	0	0	99702	0	0	0	0	28	0	0	0	0	86
1191C	0	8472	562	0	0	0	0	0	0	0	0	117707	0	0	0	0	30	0	0	0	0	13
1191D	0	10903	0	0	0	0	0	0	0	0	0	114928	42	0	0	0	21	0	0	0	0	0
1191E	0	5190	18	0	0	0	0	0	0	0	0	111287	6	0	0	0	0	0	0	0	0	12
1191F	0	2177	63	0	0	0	0	0	0	0	0	122294	0	0	0	0	20	0	0	0	0	5
1191G	0	3187	467	0	0	0	0	0	0	0	0	148285	3	0	0	0	20	0	0	0	3	15
1191H	0	7323	817	0	0	0	0	0	0	0	0	186546	7	0	0	0	20	0	0	0	0	184
1191J	0	1039	185	0	0	0	0	0	0	0	0	48217	0	0	0	0	17	0	0	0	0	143
1191K	0	1126	280	0	0	0	0	0	0	0	0	50561	0	0	0	0	0	0	0	0	0	33
1191L	0	2192	178	0	0	0	0	0	0	0	0	90750	0	0	0	0	16	0	0	0	0	35
1191M	0	1919	92	0	0	0	0	0	0	0	0	61917	0	0	0	0	7	0	0	0	0	44
1191N	0	2566	74	0	0	0	0	0	0	0	0	82706	0	0	0	0	17	0	0	0	0	29
1194A	0	1694	0	0	0	0	0	0	0	0	0	2974	0	0	0	0	4408	0	0	0	0	0
1196F	0	4687	4081	0	0	0	0	0	0	0	12	29770	11	0	0	0	23	0	0	0	0	20
1196H	0	5264	1057	0	0	0	0	0	0	0	0	13784	17	0	0	0	4	0	0	0	0	7
1196I	0	4099	1311	0	0	0	0	0	0	0	0	8811	26	0	0	0	14	0	0	0	0	0
1196J	0	1153	1501	0	0	0	0	0	0	0	0	15158	0	0	0	0	11	0	0	0	0	11
1196L	0	812	1385	0	0	0	0	0	0	0	0	11384	0	0	0	0	4	0	0	0	0	0
1198B	0	559	6	0	0	0	0	0	0	0	0	6891	0	0	0	0	3	0	0	0	0	0
1198D	0	821	14	0	0	0	0	0	0	0	0	11398	0	0	0	0	0	0	0	0	0	0
1198F	0	3691	274	0	0	0	0	0	0	0	0	70885	0	0	0	0	16	0	0	0	0	0
1199D	0	23	0	0	0	0	0	0	0	0	0	8681	0	0	0	0	4	0	0	0	0	0
1204A	0	576	0	0	0	7	0	0	0	0	0	5335	0	0	0	0	12	0	0	0	0	0
