SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1186M	0	52.4703325108683	0.00734343790388908	0.016155563388556	0	0.0455293150041123	0	0	0	0	0	47.1845259076489	0	0	0.0088121254846669	0	0.233521325343673	0	0	0	0	0.0337798143578898
1186N	0	71.210679426878	0	0.0135939751502134	0	0.125064571381964	0	0	0	0	0	27.9804790516843	0	0	0.0244691552703842	0	0.613088279274626	0.00271879503004268	0	0	0	0.0299067453304695
1186P	0	73.1548503845408	0.00323143540360628	0.0193886124216377	0	0.101790215213598	0	0	0	0	0	26.1423124151748	0	0	0.011310023912622	0	0.567116913332902	0	0	0	0	0
1186R	0	3.94548517434865	0	0	0	0.008866258818761	0	0	0	0	0	95.8607237400413	0	0	0	0	0.0468645108991653	0	0	0	0	0.138060315892136
1186S	0	2.60830260008424	0.00205459046875482	0	0	0.0698560759376637	0	0	0	0	0	97.1040547342901	0	0	0	0	0.0616377140626445	0	0	0	0	0.154094285156611
1186V	0	0.430210775038361	0	0	0	0	0	0	0	0	0	98.3130465889087	0	0	0	0	1.23414951001158	0	0	0	0	0.0225931260414019
1187B	0	32.940429776045	0	0	0	0	0	0	0	0	0	67.059570223955	0	0	0	0	0	0	0	0	0	0
1191A	0	13.7674462466994	0.43757072802716	0	0	0	0	0	0	0	0	85.7789513391173	0	0	0	0	0.0160316861561675	0	0	0	0	0
1191B	0	15.6504303763486	0.609909562240977	0	0	0	0	0	0	0	0	83.6440208728334	0	0	0	0	0.0234903270189097	0	0	0	0	0.0721488615580798
1191C	0	6.68223119636547	0.443273599192327	0	0	0	0	0	0	0	0	92.8405792529026	0	0	0	0	0.0236622917718324	0	0	0	0	0.010253659767794
1191D	0	8.66046038730996	0	0	0	0	0	0	0	0	0	91.2894975137814	0.0333613992724038	0	0	0	0.0166806996362019	0	0	0	0	0
1191E	0	4.45443856050398	0.0154489198630196	0	0	0	0	0	0	0	0	95.51466359977	0.00514963995433986	0	0	0	0	0	0	0	0	0.0102992799086797
1191F	0	1.74776611886736	0.0505784407389269	0	0	0	0	0	0	0	0	98.1815846305767	0	0	0	0	0.0160566478536276	0	0	0	0	0.0040141619634069
1191G	0	2.09698644558495	0.307277273325438	0	0	0	0	0	0	0	0	97.5687590472431	0.0019739439399921	0	0	0	0.013159626266614	0	0	0	0.0019739439399921	0.00986971969996052
1191H	0	3.75736927710534	0.419195780335254	0	0	0	0	0	0	0	0	95.7151726296454	0.00359164071278675	0	0	0	0.0102618306079622	0	0	0	0	0.0944088415932518
1191J	0	2.09471583234209	0.37297635128324	0	0	0	0	0	0	0	0	97.2097336747243	0	0	0	0	0.0342735025503518	0	0	0	0	0.288300639100018
1191K	0	2.16538461538462	0.538461538461538	0	0	0	0	0	0	0	0	97.2326923076923	0	0	0	0	0	0	0	0	0	0.0634615384615385
1191L	0	2.35266338238293	0.191046570284745	0	0	0	0	0	0	0	0	97.4015519850597	0	0	0	0	0.0171727254188535	0	0	0	0	0.037565336853742
1191M	0	2.99942168524047	0.14379718345082	0	0	0	0	0	0	0	0	96.7770674752653	0	0	0	0	0.0109410900451711	0	0	0	0	0.0687725659982182
1191N	0	3.00496533633127	0.0866591718193742	0	0	0	0	0	0	0	0	96.8545062769346	0	0	0	0	0.019908188120667	0	0	0	0	0.0339610267940791
