FMT.0104C,-4.146235,0.4333651
452A,-3.5505457,-1.0114453
FMT.0181B,-3.4629786,-0.86122704
464A,2.924999,1.8399163
463A,2.39181,3.7186835
753A,-3.4808834,0.18891399
844A,-3.0584874,-1.656337
FMT.0204C,-0.6930885,-1.9098185
FMT.0182B,-3.4594474,0.8621864
123A,-0.6802967,-1.2865999
295A,-2.4386528,-0.48530653
278A,-0.7613374,0.41252956
1392C,-4.567271,1.3668716
934A,-3.440883,-0.027113045
455A,-1.0388395,-0.28832987
454A,-3.6701496,-0.02054368
FMT.0195C,-0.6169963,0.2520721
139A,-3.5452304,-0.6865599
775A,3.8057556,2.838384
1393A,-4.549359,0.76696044
870B,-0.94835633,-0.16419424
FMT.0082B,-3.2917414,-0.076816425
265A,-2.9519205,-0.59226346
680C,3.3336477,2.1482902
FMT.0098S,-3.3166153,0.8066377
1460A,-2.9362295,0.7984749
FMT.0090B,-3.2138803,0.38875055
273A,-3.3793123,-0.2967766
FMT.0153A,-2.5003173,0.6361933
1044A,-4.1309876,0.8878103
1959A,-2.8766599,0.97971404
466A,-3.291405,-0.7522103
1019,-3.252379,-1.3494222
258A,-2.737532,-1.1765076
421A,-4.543643,0.95623595
694A,-4.0237412,0.21711257
690A,-3.3977637,0.54846865
752A,-2.8513467,0.84610957
FMT.0115B,-4.6948576,1.4703754
FMT.0066A,-1.8169887,-1.8126619
1046C,-3.3859584,0.03730817
FMT.0100B,-3.2077522,-0.39244568
FMT.0064D,-3.6185808,0.6702335
FMT.0116A,-3.2017293,-1.4543153
1443B,-3.13654,-1.7430437
FMT.0099B,-4.459949,0.34364268
FMT.0207C,-2.709788,-1.570195
593B,-5.0596147,1.1838601
FMT.0156A,-2.3658738,-1.6342522
FMT.0014C,-0.11015535,1.1707473
872A,-3.7839785,-0.3683811
1966C,-3.0694158,-0.07645625
268A,-3.4282074,-0.6149903
684A,-2.9553118,-0.79607433
FMT.0016K,6.103601,1.1654183
FMT.0146A,-4.351698,0.90788555
FMT.0142A,-1.2986767,-1.7190105
FMT.0091B,-2.39191,1.6003163
1671A,-2.0020154,0.7041013
1686C,-1.97961,0.8615969
1130A,-1.9627037,0.42845878
FMT.0094B,-1.0824547,-1.5077875
1305E,0.46536297,-2.2628458
FMT.0055C,-3.385112,-0.10972639
187A,-1.0954192,-1.1678207
625A,-1.9019562,0.3308869
626A,-2.309175,-0.20534547
FMT.0127B,-4.2256474,0.3168776
FMT.0035B,-0.44154033,-1.6294208
1513A,-2.9543676,1.3124734
662A,-3.8991284,-0.056601584
292A,-2.8054762,-1.309349
FMT.0196A,1.1088563,-1.0972145
843A,-1.8279049,0.97946554
FMT.0049A,-3.1148329,-1.4604363
1498A,-3.7018583,-0.6659494
1842A,-1.7418371,-1.001469
FMT.0093B,-3.3513017,-0.49743736
1493B,-2.4298673,0.686445
FMT.0193A,-2.9184484,1.2184001
678A,-2.77346,1.2848262
FMT.0057A,0.4326591,-1.1953448
284A,2.568078,2.582223
FMT.0204D,-0.51631117,-2.0970092
1050,-3.4888222,-0.77960813
1957C,-1.3272717,-0.28607985
615B,-2.2277858,0.5849848
FMT.0044B,-0.5541451,-1.2004778
138A,-0.78149414,-0.23032704
1081,-3.374467,6.2561507
FMT.0158Z,-1.809975,7.4060683
1785C,-3.450571,0.030587662
616B,-3.0266323,-0.8598187
1196C,-2.3994386,5.9451094
FMT.0202A,-1.7963095,-0.7480409
FMT.0191B,-2.5485165,-0.6781374
1687B,-3.1337633,0.911304
617B,-2.5483568,2.3022676
1380B,-2.8724535,1.232111
FMT.0059A,1.2144458,-0.893514
835E,-3.2849538,1.0882978
1042C,-3.0166996,-0.4045033
FMT.0027A,-3.1614952,-1.6054244
666A,-3.4233005,-1.0664217
FMT.0138C,-4.3851366,0.46795896
696A,-2.1736689,1.1226777
2023E,-1.8105358,0.13461073
FMT.0113Q,-3.2214472,-1.3605129
969A,-2.2795947,0.7982619
121B,-2.4918573,-1.3763014
FMT.0166B,-2.794875,0.052412942
FMT.0180A,-1.3563253,-1.5502999
2142C,-3.1422331,-1.7160568
FMT.0224B,-1.114992,-1.633115
FMT.0223B,-3.2853384,-1.0265027
FMT.0105D,-1.4898627,2.0221565
1167A,-1.6248918,2.2396443
FMT.0215A,-3.0390592,-0.2733796
1432A,-3.0071464,-0.9566404
FMT.0163A,-3.386681,-1.0725112
887A,-3.5682156,-0.7921886
448A,-0.64481264,3.1806629
1406B,-0.65753627,1.658373
429A,-3.5073314,-0.7314666
714A,-3.0148814,0.31538418
175A,-3.4437876,-0.80106676
220A,-3.048838,-0.210997
1080C,-2.5195205,-0.9910742
FMT.0229B,-3.344327,-1.2371156
217A,-2.7912586,-0.62452227
1354A,-5.098533,2.0031798
729A,-0.20661536,0.09286832
1428E,0.65044373,-2.3806727
FMT.0168A,-2.6972013,-1.1275465
898A,-2.4222417,0.16689776
941A,-3.5126219,-1.1087389
1574B,-2.7606485,-1.3012003
FMT.0111C,-4.992084,1.3399916
443B,-2.83877,-0.80240846
FMT.0216A,-1.0656387,-1.3356282
875A,-2.8019187,1.1681638
1246A,-1.6097594,-1.1517261
FMT.0181C,-3.5710492,-0.90797466
240A,-3.3279467,-0.18414165
117A,-3.0158353,-0.5654433
923B,-0.085807666,-2.2884333
2126B,-3.2235262,0.512973
FMT.0006A,-3.1722727,-1.1709131
1207C,-4.6485887,1.3874749
1110A,-4.2503123,0.35365337
424A,-2.697613,0.057659995
910A,-3.5739348,0.6962793
205A,-1.3683407,-1.4230717
545A,-3.7313082,-0.8465231
1442O,-1.9776268,0.307141
1758A,-2.046421,0.6268545
543A,-4.1449666,-0.37010127
478B,-3.1540265,-1.5341598
1606A,-2.3061252,0.8443773
1564A,-0.5582503,-1.6572893
2105B,-2.7615988,-1.546103
1259E,-2.7738862,-1.2453194
1220A,-2.7551005,0.051235646
FMT.0114C,-3.0636818,-0.3985084
1371A,-4.1375055,-0.18149471
FMT.0185B,-4.48584,0.63333404
